"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","sample_name","sample_type"
0.072,0.052,0.125,0.065,0.0505,0.272,0.034,0.0535,0.0225,0.0235,0.044,0.0245,0.0345,0.0325,0.0625,0.032,"ref_sample_17","reference"
0.1275,0.05,0.146,0.1385,0,0,0.0915,0.1725,0.0045,0.004,0.0085,0.008,0.059,0.0395,0.072,0.0785,"ref_sample_18","reference"
0.0075,0.0065,5e-04,0.006,0.0055,0.009,0.009,0.0025,0.2685,0.1875,0.018,0.2185,0.087,0.077,0.009,0.088,"ref_sample_19","reference"
0.2035,0.096,0.0545,0.033,0.0955,0.0195,0.096,0.0255,0.034,0.021,0.005,0.0055,0.144,0.088,0.0405,0.0385,"ref_sample_20","reference"
0.056,0.0305,0,0.03,0.003,0.0035,0.0305,0.0095,0.317,0.119,0.0045,0.115,0.162,0.052,0.0025,0.065,"ref_sample_21","reference"
0,0,0.001,0.001,0,0,0,0,0.047,0.015,0.483,0.164,0.016,0.011,0.1865,0.0755,"ref_sample_22","reference"
0.164,0.048,0.12,0.0815,0,0.0035,0.061,0.0575,0.078,0.0215,0.061,0.043,0.098,0.029,0.08,0.054,"ref_sample_23","reference"
0.03,0.1005,0.075,0.126,0.016,0.039,0.0905,0.1495,0,0,0.001,0,0.0725,0.0665,0.0935,0.14,"ref_sample_24","reference"
0.0255,0.0085,0.394,0.1095,0.003,0.008,0.006,0.1285,0.001,0,0.013,0.0025,0.0115,0.0035,0.222,0.0635,"ref_sample_25","reference"
5e-04,0.29,0.052,0.0775,0.001,0,0.175,0.058,0.07,0.0395,0.01,0.0195,0.112,0.045,0.022,0.028,"ref_sample_26","reference"
0.045,0.016,0.1425,0.0505,0,0,0.028,0.083,0.0975,0.043,0.285,0.12,0.0185,0.0095,0.042,0.0195,"ref_sample_27","reference"
0,5e-04,0.185,0.04,0.0305,0.0215,0,0.051,0.001,0.001,0.3725,0.0645,5e-04,0,0.189,0.043,"ref_sample_28","reference"
0,0.036,0.0075,0.018,0.3265,0.13,0.084,0.0895,0.001,0.0065,0.003,0.0055,0.0135,0.151,0.037,0.091,"ref_sample_29","reference"
0.2345,0.206,0.0135,0.119,0.003,0.0035,0.1505,0.0475,0.0465,0.0155,0,0.0205,0.0715,0.0285,0.0025,0.0375,"ref_sample_30","reference"
0,0,0,0.002,0.014,0.007,0.0025,5e-04,0.044,0.353,0.0055,0.253,0.012,0.1755,0.004,0.127,"ref_sample_31","reference"
0.0035,0.0035,0.0035,0.0065,0.105,0.0525,0.035,0.0615,0.0185,0.117,0.1215,0.1495,0.0085,0.098,0.086,0.13,"ref_sample_32","reference"
0.1295,0.094,0.149,0.126,0.0485,0.018,0.051,0.0715,0.0435,0.015,0.0565,0.0365,0.0475,0.018,0.0495,0.046,"ref_sample_33","reference"
0,5e-04,0,0,0.046,0.0345,0.017,0.006,0.0025,0.5195,0.011,0.142,0,0.172,0.002,0.047,"ref_sample_34","reference"
0.031,0.0045,0.0045,0.0095,0.022,0.0225,0.019,0.006,0.2015,0.2385,0.0535,0.1305,0.067,0.108,0.016,0.066,"ref_sample_35","reference"
5e-04,0.001,0.0055,0.0015,0.2755,0.1635,0.078,0.177,0,0.003,0.0025,0.004,0.001,0.0735,0.113,0.1005,"ref_sample_36","reference"
0.114,0.127,0.049,0.0505,0.0975,0.0475,0.073,0.0345,0.0875,0.0475,0.0375,0.021,0.091,0.062,0.0295,0.031,"ref_sample_37","reference"
0,0,0,0,0,0.1075,0.005,0.061,0,0.0315,0.485,0.1195,0,0.0145,0.1425,0.0335,"ref_sample_38","reference"
0.0105,0.1505,0.0105,0.071,0.0865,0.064,0.095,0.0495,0.0965,0.102,0.0195,0.09,0.0445,0.057,0.0095,0.0435,"ref_sample_39","reference"
0.132,0.1555,0.0095,0.1645,0.001,0.121,0.1295,0.0735,0.0315,0.021,5e-04,0.0245,0.0455,0.037,0.002,0.0515,"ref_sample_40","reference"
0.0615,0.0295,0.0075,0.0475,0.0165,0.0115,0.047,0.0285,0.216,0.128,0.0195,0.13,0.088,0.0695,0.0115,0.088,"ref_sample_41","reference"
0.2005,0.056,0.0155,0.0705,0.1225,0.0755,0.112,0.035,0.0625,0.042,0.0065,0.0295,0.0715,0.0575,0.0085,0.0345,"ref_sample_42","reference"
0.0965,0.17,0.06,0.1335,0,0.001,0.1565,0.121,0,0,0,0,0.092,0.0585,0.0385,0.0725,"ref_sample_43","reference"
0.004,5e-04,0.004,0.003,0.3865,0.2125,0.0615,0.0955,5e-04,0.038,0.0365,0.014,0.001,0.063,0.056,0.0235,"ref_sample_44","reference"
0.0105,0.005,0.145,0.0645,0.0565,0.018,0.007,0.089,0.0155,0.017,0.271,0.111,0.0055,0.0085,0.1325,0.0435,"ref_sample_45","reference"
0.1055,0.103,0.058,0.0895,0.0935,0.1175,0.013,0.013,0.087,0.045,0.0335,0.0455,0.0705,0.0565,0.0265,0.0425,"ref_sample_46","reference"
0.0375,0.22,0.04,0.0645,0,0,0.163,0.06,0.037,0.0235,0.008,0.0145,0.1385,0.094,0.0395,0.06,"ref_sample_47","reference"
0.003,0.0035,0.269,0.119,0.0275,0.0205,5e-04,0.1365,0.0025,0.0015,0.1715,0.081,0.001,5e-04,0.1125,0.05,"ref_sample_48","reference"
0.081,0.1,0.02,0.045,0.005,0.0275,0.0875,0.0325,0.1365,0.0755,0.027,0.0575,0.1405,0.075,0.025,0.0645,"ref_sample_49","reference"
0.038,0.012,0.0105,0.0095,0.013,0.01,0.0345,0.0185,0.195,0.1705,0.0925,0.0895,0.0955,0.0955,0.0535,0.062,"ref_sample_50","reference"
0.0035,5e-04,0.0095,0.011,0.003,0.0015,0,0.003,0.0505,0.016,0.388,0.251,0.018,0.0055,0.1395,0.0995,"ref_sample_51","reference"
0.177,0.166,0.081,0.1445,0,0,0.116,0.077,0.0645,0.0225,0.031,0.0455,0.034,0.0125,0.0065,0.022,"ref_sample_52","reference"
0,0.0035,0.052,0.0265,0.308,0.171,0.006,0.158,0.001,0.0025,0.071,0.0465,0,0.0035,0.096,0.0545,"ref_sample_53","reference"
0.006,0.002,0.026,0.007,5e-04,0.0085,5e-04,0.006,0.0955,0.04,0.3885,0.158,0.041,0.0135,0.1535,0.0535,"ref_sample_54","reference"
0.2015,0.104,0.0045,0.119,0.0735,0.0275,0.0415,0.0155,0.069,0.0215,0.001,0.034,0.1525,0.0515,0.004,0.0795,"ref_sample_55","reference"
0.0145,0.0145,0.2975,0.094,0.088,0.036,0.0135,0.125,0,0,0.0075,0.003,0.013,0.011,0.2065,0.076,"ref_sample_56","reference"
0.2095,0.079,0.135,0.0675,0,0.0785,0.0295,0.018,0.0145,0.003,0.0095,0.003,0.1605,0.043,0.107,0.0425,"ref_sample_57","reference"
0.05,0.024,0.1205,0.0775,0.113,0.0375,0.051,0.1665,0.02,0.0165,0.0725,0.047,0.023,0.0255,0.088,0.0675,"ref_sample_58","reference"
0.056,0.021,0.004,0.025,0,5e-04,0.0465,0.0215,0.2665,0.145,0.0505,0.1345,0.102,0.056,0.017,0.054,"ref_sample_59","reference"
0.023,0.0495,0.002,0.023,0,0,0.0435,0.0165,0.3025,0.202,0.0105,0.1265,0.0955,0.0535,0.006,0.046,"ref_sample_60","reference"
0.012,0.0075,0.0125,0.012,0.0175,0.551,0.0655,0.106,0.007,0.0535,0.039,0.046,0.002,0.0315,0.0145,0.0225,"ref_sample_61","reference"
0.022,0.062,0.3375,0.081,0.015,0.003,0.014,0.093,0.003,5e-04,0.026,0.006,0.041,0.0105,0.225,0.0605,"ref_sample_62","reference"
5e-04,0.001,0,0,0,0.001,0.001,0,0.145,0.1255,0.2495,0.1365,0.074,0.071,0.113,0.082,"ref_sample_63","reference"
0.0045,0.088,0.1355,0.072,5e-04,0.1935,0.095,0.2025,0.0275,0.0315,0.0855,0.0385,0.002,0.0075,0.0125,0.0035,"ref_sample_64","reference"
0.1695,0.094,0.043,0.112,0,5e-04,0.161,0.1025,0.0405,0.0235,0.0125,0.0315,0.071,0.0535,0.022,0.063,"ref_sample_65","reference"
0.0015,0.128,0.0555,0.0545,0.1365,0.082,0.0915,0.091,0.0335,0.0425,0.0425,0.045,0.043,0.0605,0.04,0.0525,"ref_sample_66","reference"
0.0095,0.306,0.0055,0.145,0.0195,0.0105,0.1765,0.078,0.0765,0.0485,0.001,0.055,0.0285,0.018,0.001,0.021,"ref_sample_67","reference"
5e-04,0.1115,0.0215,0.022,0.2,0.0935,0.15,0.072,0.0305,0.068,0.0205,0.018,0.033,0.1065,0.0295,0.023,"ref_sample_68","reference"
0.019,0.0115,0.0065,0.0085,0.289,0.1695,0.065,0.0395,5e-04,0.022,0.006,0.0055,0.021,0.2015,0.051,0.084,"ref_sample_69","reference"
0.0305,0.2615,0.054,0.0855,0.0085,0.009,0.163,0.0995,0.0065,0.0015,5e-04,0.001,0.1115,0.072,0.0395,0.056,"ref_sample_70","reference"
0.0435,0.0175,5e-04,0.0335,0.377,0.1675,0.066,0.035,0.012,0.0725,5e-04,0.041,0.0155,0.076,0,0.042,"ref_sample_71","reference"
0.1145,0.0425,0.008,0.099,0.0335,0.037,0.0795,0.0495,0.1485,0.092,0.0075,0.142,0.0485,0.041,0.003,0.054,"ref_sample_72","reference"
0.209,0.051,0.021,0.0845,0,0,0.0795,0.03,0.2055,0.049,0.023,0.073,0.101,0.024,0.011,0.0385,"ref_sample_73","reference"
0.03,0.0155,0,0.032,0.211,0.1055,0.1185,0.0695,0.0435,0.1725,0,0.1075,0.007,0.0595,0,0.028,"ref_sample_74","reference"
0.0255,0.014,0.099,0.05,0.1175,0.0695,0.0155,0.0725,0.0425,0.032,0.198,0.126,0.0145,0.013,0.0685,0.042,"ref_sample_75","reference"
0.0195,0.0085,0.3155,0.182,0.066,0.038,0.0055,0.101,5e-04,0,0.008,0.006,0.007,0.0035,0.1625,0.0765,"ref_sample_76","reference"
0,0.0285,0.3755,0.1205,5e-04,0,0.0085,0.155,5e-04,0,0.003,0.0015,0.0135,0.0055,0.222,0.0655,"ref_sample_77","reference"
0.222,0.0855,0.0785,0.0565,0.002,0.097,0.0465,0.0275,0.0035,0.002,0.002,0,0.1875,0.07,0.0575,0.062,"ref_sample_78","reference"
0.007,0.01,0.104,0.015,0.0575,0.021,0.009,0.0695,0.0255,0.0155,0.37,0.0935,0.0115,0.011,0.146,0.034,"ref_sample_79","reference"
0.1215,0.1095,0.062,0.0315,0.144,0.081,0.168,0.056,0.013,0.016,0.0065,0.004,0.0605,0.079,0.03,0.0175,"ref_sample_80","reference"
0.183,0.1415,0.038,0.149,0.0025,0.003,0.17,0.0775,0.003,0.001,0,0.0015,0.1065,0.0505,0.0125,0.0605,"ref_sample_81","reference"
0.0445,0.0435,0.0505,0.054,0.0015,0.009,0.024,0.034,0.1715,0.0615,0.157,0.1525,0.061,0.021,0.052,0.0625,"ref_sample_82","reference"
0.209,0.102,0.0425,0.1295,0.0035,0.005,0.0835,0.046,0.0855,0.0235,0.014,0.046,0.119,0.0235,0.0185,0.049,"ref_sample_83","reference"
0.0075,0.0035,0.06,0.023,0.013,0.0095,0.007,0.0335,0.063,0.0475,0.507,0.168,0.004,0.003,0.039,0.0115,"ref_sample_84","reference"
0.137,0.078,0,0.142,0,0,0.1285,0.0845,0.0165,0.0075,0,0.015,0.1575,0.0785,0,0.155,"ref_sample_85","reference"
0.0515,0.03,0.0065,0.0365,5e-04,0.009,0.0265,0.0135,0.2655,0.117,0.03,0.1515,0.127,0.0505,0.0085,0.076,"ref_sample_86","reference"
0,0.1335,0.028,0.014,0.184,0.119,0.0505,0.024,0.101,0.119,0.05,0.0345,0.036,0.0665,0.028,0.012,"ref_sample_87","reference"
0.005,0.278,0.0645,0.1185,0.0625,0.024,0.0235,0.014,0.0105,0.002,0.002,0.0045,0.1825,0.059,0.053,0.0965,"ref_sample_88","reference"
0.034,0.008,0.2375,0.0915,0.0875,0.116,0.0125,0.161,0.002,0.0025,0.018,0.006,0.0105,0.012,0.1525,0.0485,"ref_sample_89","reference"
0.001,5e-04,0,0,0.138,0.0495,0.079,0.0475,0.0035,0.28,0.042,0.098,5e-04,0.166,0.031,0.0635,"ref_sample_90","reference"
0.073,0.031,0.04,0.0445,0,5e-04,0.03,0.029,0.1745,0.036,0.0805,0.083,0.151,0.0475,0.0885,0.091,"ref_sample_91","reference"
0.042,0.032,0.0115,0.028,0.191,0.1635,0.113,0.0515,0.017,0.045,0.011,0.0245,0.033,0.1575,0.027,0.0525,"ref_sample_92","reference"
0.214,0.126,0.042,0.112,0.035,0.0095,0.1125,0.0545,0.0625,0.0235,0.012,0.0195,0.085,0.0355,0.011,0.0455,"ref_sample_93","reference"
0,0.0135,0.059,0.006,0.0045,0.0045,0.0055,0.0285,0.08,0.037,0.4455,0.039,0.036,0.0215,0.201,0.0185,"ref_sample_94","reference"
0.124,0.0615,0,0.1005,0.1085,0.05,0.1105,0.073,0.031,0.039,0,0.032,0.0795,0.094,0,0.0965,"ref_sample_95","reference"
0.049,0.327,0.013,0.0845,0.0545,0.027,0.03,0.01,0.0595,0.014,0.0015,0.013,0.194,0.053,0.005,0.065,"ref_sample_96","reference"
0.017,0.003,0.025,0.0115,5e-04,0,0.0035,0.0085,0.2005,0.0655,0.3235,0.128,0.0665,0.0195,0.091,0.0365,"ref_sample_97","reference"
0.0405,0.185,0.0355,0.1245,0.0365,0.009,0.09,0.0595,0.04,0.0105,0.009,0.0235,0.127,0.069,0.03,0.1105,"ref_sample_98","reference"
0.003,0.001,0,0.0015,0.0145,0.3265,0.0565,0.0145,0.005,0.247,5e-04,0.084,0.001,0.1775,0.001,0.0665,"ref_sample_99","reference"
0.036,0.016,0.041,0.0515,0.1525,0.2955,0.042,0.0845,0.0175,0.031,0.0455,0.042,0.012,0.044,0.034,0.055,"ref_sample_100","reference"
0.1205,0.0815,0.0425,0.054,0.1045,0.0315,0.1125,0.053,0,0,0,0,0.128,0.1205,0.0735,0.078,"ref_sample_101","reference"
0,0,0,0,0,0,0,0,0.3625,0.195,0.0125,0.1685,0.147,0.0545,0.004,0.056,"ref_sample_102","reference"
0.0805,0.043,0.005,0.0675,0.045,0.2385,0.1075,0.0685,0.023,0.051,0.0025,0.046,0.0435,0.0965,0.0055,0.0765,"ref_sample_103","reference"
0.0095,0.371,0.0495,0.1795,0.0045,0.003,0.082,0.0585,0.0185,0.006,0.003,0.01,0.106,0.028,0.0115,0.0595,"ref_sample_104","reference"
0.0735,0.033,0.127,0.096,0.0355,0.0175,0.027,0.0605,0.0785,0.035,0.144,0.1205,0.0345,0.0145,0.055,0.048,"ref_sample_105","reference"
0.0535,0.0135,0.3485,0.0535,0.0305,0.04,0.016,0.122,0.0175,0.0065,0.114,0.018,0.0195,0.005,0.1215,0.0205,"ref_sample_106","reference"
0,0.0015,0,0,0,5e-04,5e-04,0,0.2955,0.2355,0.074,0.152,0.093,0.076,0.0195,0.052,"ref_sample_107","reference"
0.0905,0.0345,0.019,0.026,0,0,0.034,0.0105,0.2305,0.07,0.048,0.0555,0.2065,0.068,0.048,0.059,"ref_sample_108","reference"
0,0,0,0,5e-04,0.002,0,5e-04,0.229,0.332,0,0.2005,0.0535,0.12,0,0.062,"ref_sample_109","reference"
0.2395,0.104,0.07,0.0395,0,0.003,0.1715,0.0495,0.069,0.0315,0.0255,0.0105,0.096,0.04,0.04,0.0105,"ref_sample_110","reference"
0,0,0.005,0.0015,0.002,0.002,0,0.0035,0.0055,0.008,0.4865,0.15,0.003,0.0025,0.2475,0.083,"ref_sample_111","reference"
0.007,0.0025,0,0.005,0.003,0.0015,0.0065,0.0025,0.3205,0.216,0.0185,0.1825,0.097,0.07,0.0045,0.063,"ref_sample_112","reference"
0.174,0.0415,0.0625,0.0545,0.2205,0.086,0.0585,0.036,0.0385,0.0295,0.0225,0.0215,0.0485,0.0505,0.023,0.0325,"ref_sample_113","reference"
0.066,0.0435,0.0735,0.0285,0.0295,0.2205,0.102,0.08,5e-04,0,0,0,0.0515,0.133,0.12,0.0515,"ref_sample_114","reference"
0.0295,0.2015,0.046,0.114,0.0045,0.003,0.1285,0.0805,5e-04,0,5e-04,5e-04,0.143,0.085,0.042,0.121,"ref_sample_115","reference"
0,0,0,5e-04,0.002,0.007,5e-04,5e-04,0.133,0.4295,0.0475,0.2015,0.0215,0.0975,0.01,0.049,"ref_sample_116","reference"
5e-04,0,0.328,0.103,0.0285,0.0085,0,0.137,0,0,0.0095,0.0055,0,0,0.2855,0.094,"ref_sample_117","reference"
5e-04,0.001,0,0,0.0955,0.215,0.061,0.0255,0.0015,0.18,0.049,0.03,5e-04,0.238,0.064,0.0385,"ref_sample_118","reference"
0.008,0.008,0.132,0.0495,0.293,0.0855,0.0065,0.17,0,5e-04,0.003,0.002,0.0015,0.0125,0.1835,0.0445,"ref_sample_119","reference"
0,5e-04,5e-04,0.001,0.0015,0.2735,0.027,0.0315,0.0045,0.1735,0.108,0.1245,0.0015,0.1105,0.0675,0.0745,"ref_sample_120","reference"
0.017,0.07,0.003,0.033,0.0085,0.009,0.016,0.0085,0.3415,0.13,0.026,0.1775,0.089,0.029,0.004,0.038,"ref_sample_121","reference"
0,0,0.001,0,0,0,0,0,0.011,0.002,0.5495,0.1,0.0055,0.002,0.2765,0.0525,"ref_sample_122","reference"
0,0.133,0.019,0.0675,0.0385,0.233,0.072,0.0535,0.045,0.0515,0.018,0.047,0.0455,0.0915,0.0175,0.0675,"ref_sample_123","reference"
0.0105,0.012,0.284,0.102,0.0515,0.032,0.0145,0.2325,0,0,0.0015,0.001,0.008,0.005,0.1805,0.065,"ref_sample_124","reference"
5e-04,0,0.0265,0.0105,0.4355,0.117,0.01,0.151,0,0.0035,0.072,0.0285,5e-04,0.0065,0.104,0.034,"ref_sample_125","reference"
0.081,0.1045,0.254,0.128,0.005,0.127,0.0285,0.0515,0.0165,0.0065,0.0145,0.0125,0.0415,0.0185,0.0745,0.036,"ref_sample_126","reference"
0.1335,0.072,0.0185,0.0485,0.077,0.0235,0.074,0.032,0.1115,0.0615,0.0185,0.053,0.0995,0.0965,0.028,0.0525,"ref_sample_127","reference"
5e-04,0,0,0.0015,0,0,5e-04,0.001,0.2965,0.142,0.042,0.226,0.122,0.0545,0.021,0.0925,"ref_sample_128","reference"
0.0135,0.008,0,0.0045,0.083,0.0305,0.0265,0.006,0.106,0.4695,0.0065,0.1615,0.01,0.0545,5e-04,0.0195,"ref_sample_129","reference"
0.2775,0.0985,0.0495,0.115,0.002,0.007,0.1405,0.052,0.002,0,0,0,0.136,0.0445,0.0195,0.056,"ref_sample_130","reference"
0.1615,0.042,0.0265,0.036,0.1445,0.0575,0.132,0.047,0.026,0.034,0.01,0.0165,0.0775,0.108,0.0245,0.0565,"ref_sample_131","reference"
0.127,0.07,0.0565,0.0595,0.04,0.022,0.0465,0.0285,0.113,0.039,0.047,0.052,0.1425,0.051,0.052,0.0535,"ref_sample_132","reference"
0.0415,0.096,5e-04,0.069,0.1435,0.078,0.0935,0.044,0.012,0.016,0,0.0095,0.112,0.1475,0.0015,0.1355,"ref_sample_133","reference"
0.222,0.1655,0.0115,0.1065,0.008,0.0075,0.1275,0.0415,0.0825,0.0285,0.0055,0.04,0.0885,0.025,0.0035,0.0365,"ref_sample_134","reference"
0.1195,0.0325,0.0485,0.0675,0.0445,0.161,0.0945,0.09,0.008,0.009,0.015,0.01,0.07,0.094,0.062,0.074,"ref_sample_135","reference"
0,0,0,0,0.0015,0.004,0,0.0015,0.0145,0.267,0.297,0.168,0.003,0.0825,0.1,0.061,"ref_sample_136","reference"
0.239,0.103,0.075,0.1035,0.031,0.006,0.1125,0.0715,0.015,0.0045,0.0055,0.0065,0.102,0.038,0.038,0.049,"ref_sample_137","reference"
0.066,0.0685,0.2395,0.0865,0.0665,0.0305,0.0285,0.087,0.0125,0.0045,0.032,0.009,0.0515,0.022,0.134,0.0615,"ref_sample_138","reference"
0,0,0,0,0.262,0.118,0.031,0.1675,0,0.0105,0.0215,0.0165,0,0.0705,0.1785,0.124,"ref_sample_139","reference"
0.0745,0.066,0.119,0.114,0.0395,0.0795,0.0585,0.0835,0.0675,0.0285,0.0885,0.0695,0.027,0.0205,0.033,0.031,"ref_sample_140","reference"
0.001,0.061,0.022,0.013,0.0235,0.384,0.0945,0.0555,0.0235,0.096,0.0355,0.031,0.0115,0.093,0.0345,0.0205,"ref_sample_141","reference"
0,0,0,0,0,0.001,0.001,0,0.0455,0.374,0.0625,0.178,0.014,0.1995,0.0405,0.084,"ref_sample_142","reference"
0.003,0.0015,0.0205,0.0075,0.0475,0.445,0.0345,0.1955,0,0.0025,0.0095,0.0065,0.0025,0.0325,0.1335,0.058,"ref_sample_143","reference"
0.0045,0.003,0,0.0015,0.002,0,0.001,0.001,0.3335,0.153,0.0035,0.26,0.1135,0.0415,5e-04,0.0815,"ref_sample_144","reference"
0.073,0.0165,0.0215,0.0345,0.027,0.019,0.028,0.023,0.22,0.1395,0.077,0.1485,0.06,0.0465,0.023,0.043,"ref_sample_145","reference"
0.1545,0.062,0.0065,0.062,0.027,0.0555,0.068,0.024,0.1885,0.1215,0.0085,0.0845,0.059,0.042,0.0035,0.033,"ref_sample_146","reference"
0,0,0,0,5e-04,0.0565,0.0085,0.0095,0.005,0.246,0.1985,0.1575,0.003,0.1485,0.0825,0.084,"ref_sample_147","reference"
0.0295,0.1395,0.0035,0.0405,0.2245,0.1055,0.172,0.057,0,0.001,0,5e-04,0.046,0.124,0.0025,0.054,"ref_sample_148","reference"
0.0375,0.098,0.012,0.0615,5e-04,0.1995,0.1405,0.075,0,0,0,0,0.0905,0.1515,0.0185,0.115,"ref_sample_149","reference"
0.022,0.255,0.0155,0.126,0.0385,0.0215,0.1185,0.0645,0.0785,0.0385,0.0055,0.0545,0.0675,0.042,0.004,0.048,"ref_sample_150","reference"
0,0.001,0,0.001,5e-04,0,5e-04,0,0.339,0.2,0,0.2005,0.126,0.0675,0,0.064,"ref_sample_151","reference"
0.1165,0.1095,0.1065,0.1895,0.0345,0.013,0.055,0.0645,0,0,0,0,0.118,0.028,0.057,0.108,"ref_sample_152","reference"
0.273,0.1235,0.069,0.119,0.083,0.0485,0.0285,0.0115,0,0,0,0,0.1345,0.033,0.0245,0.052,"ref_sample_153","reference"
0.177,0.147,0.1295,0.107,0.0355,0.0215,0.0835,0.0605,0.0455,0.013,0.0195,0.011,0.0625,0.0255,0.0325,0.029,"ref_sample_154","reference"
0.1325,0.071,0.085,0.0705,0.083,0.077,0.0715,0.059,0.0515,0.0315,0.0435,0.033,0.059,0.047,0.0475,0.0375,"ref_sample_155","reference"
0.0805,0.024,0.008,0.0475,0.0235,0.0085,0.01,0.006,0.2365,0.0785,0.029,0.185,0.117,0.04,0.0135,0.0925,"ref_sample_156","reference"
0.2685,0.072,0.0725,0.061,0,0,0.2005,0.073,0.0085,0.008,0.003,0.001,0.113,0.057,0.033,0.029,"ref_sample_157","reference"
0.014,0.008,0.0395,0.0115,0.034,0.015,0.003,0.008,0.126,0.0905,0.452,0.132,0.0095,0.0085,0.037,0.0115,"ref_sample_158","reference"
0.007,0.004,0.104,0.0235,0,0.4255,0.008,0.103,0.0015,0.009,0.1275,0.0285,0.001,0.0075,0.126,0.024,"ref_sample_159","reference"
0.168,0.2555,0.0105,0.103,0.0145,0.007,0.176,0.0555,0,0,0,0,0.1075,0.052,0.005,0.0455,"ref_sample_160","reference"
0.007,0.005,0.013,0.0055,0,0,0.0035,0.0075,0.1775,0.0655,0.3375,0.1155,0.071,0.0255,0.1235,0.0425,"ref_sample_161","reference"
0.0595,0.016,0.0675,0.086,0.169,0.042,0.0715,0.1425,0.012,0.016,0.0335,0.0365,0.0285,0.056,0.073,0.0905,"ref_sample_162","reference"
0,0,0.257,0.0455,0.066,0.122,5e-04,0.1225,0,0,0,0,5e-04,0,0.3325,0.0535,"ref_sample_163","reference"
0.05,0.089,0.0315,0.013,0.084,0.059,0.023,0.008,0.1325,0.089,0.046,0.0245,0.1375,0.127,0.0605,0.0255,"ref_sample_164","reference"
0.0815,0.179,0.013,0.129,0.0835,0.063,0.091,0.053,0.004,0.0025,0,0.005,0.1115,0.0795,0.0085,0.096,"ref_sample_165","reference"
0.223,0.1345,0.0095,0.1505,0.075,0.027,0.078,0.0345,0.022,0.008,5e-04,0.0135,0.109,0.039,0.0035,0.0725,"ref_sample_166","reference"
0.107,0.1695,0.0855,0.039,0.009,0.0155,0.156,0.0765,0.0625,0.0325,0.022,0.013,0.092,0.059,0.0375,0.0235,"ref_sample_167","reference"
0.0025,0.2155,0.079,0.18,0.0895,0.038,0.061,0.0745,0.0045,0.003,0.0055,0.0095,0.0655,0.045,0.0465,0.0805,"ref_sample_168","reference"
0.0155,0.011,0.004,0.022,0.0245,0.016,0.014,0.0135,0.176,0.168,0.0705,0.224,0.0625,0.071,0.027,0.0805,"ref_sample_169","reference"
